index,ft_lang,model,l1,run_name,mlp_model
0,kannada,mbert-uncased-kannada-init-layers-1,english,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
1,kannada,mbert-uncased-kannada-init-layers-1,spanish,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
2,kannada,mbert-uncased-kannada-init-layers-1,french,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
3,kannada,mbert-uncased-kannada-init-layers-1,hindi,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
4,kannada,mbert-uncased-kannada-init-layers-1,gujarati,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
5,kannada,mbert-uncased-kannada-init-layers-1,bengali,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
6,kannada,mbert-uncased-kannada-init-layers-1,kannada,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
7,kannada,mbert-uncased-kannada-init-layers-1,malayalam,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
8,kannada,mbert-uncased-kannada-init-layers-1,tamil,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
9,kannada,mbert-uncased-kannada-init-layers-1,arabic,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
10,kannada,mbert-uncased-kannada-init-layers-1,chinese,efk_loc_mbert-uncased_finetuned_kannada_init_layers_1,/home/anonymous-xme/mend/mend/outputs/2023-07-25_16-27-35_2630413402/models/bert-base-multilingual-uncased.2023-07-25_16-27-35_2630413402
11,kannada,mbert-uncased-kannada-middle,english,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
12,kannada,mbert-uncased-kannada-middle,spanish,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
13,kannada,mbert-uncased-kannada-middle,french,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
14,kannada,mbert-uncased-kannada-middle,hindi,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
15,kannada,mbert-uncased-kannada-middle,gujarati,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
16,kannada,mbert-uncased-kannada-middle,bengali,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
17,kannada,mbert-uncased-kannada-middle,kannada,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
18,kannada,mbert-uncased-kannada-middle,malayalam,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
19,kannada,mbert-uncased-kannada-middle,tamil,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
20,kannada,mbert-uncased-kannada-middle,arabic,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
21,kannada,mbert-uncased-kannada-middle,chinese,efk_loc_mbert-uncased_finetuned_kannada_middle,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-26-22_440368739/models/bert-base-multilingual-uncased.2023-07-25_18-26-22_440368739
22,kannada,mbert-uncased-kannada-last-layer,english,efk_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-54-49_6726156796/models/bert-base-multilingual-uncased.2023-07-25_18-54-49_6726156796
23,kannada,mbert-uncased-kannada-last-layer,spanish,efk_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-54-49_6726156796/models/bert-base-multilingual-uncased.2023-07-25_18-54-49_6726156796
24,kannada,mbert-uncased-kannada-last-layer,french,efk_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-54-49_6726156796/models/bert-base-multilingual-uncased.2023-07-25_18-54-49_6726156796
25,kannada,mbert-uncased-kannada-last-layer,hindi,efk_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-54-49_6726156796/models/bert-base-multilingual-uncased.2023-07-25_18-54-49_6726156796
26,kannada,mbert-uncased-kannada-last-layer,gujarati,efk_loc_mbert-uncased_finetuned_kannada_last_layer,/home/anonymous-xme/mend/mend/outputs/2023-07-25_18-54-49_6726156796/models/bert-base-multilingual-uncased.2023-07-25_18-54-49_6726156796
